epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
139	0.002289	28.966824	0.879771	5.25	0.00016427	random	96x192,192x384,384x768
140	0.001976	30.739141	0.883697	5.33	0.00016379	random	96x192,192x384,384x768
141	0.002126	30.895558	0.884934	6.29	0.00016330	random	96x192,192x384,384x768
142	0.002036	31.284007	0.885519	6.15	0.00016282	random	96x192,192x384,384x768
143	0.002397	29.791492	0.882020	5.60	0.00016233	random	96x192,192x384,384x768
144	0.002024	29.088825	0.876009	5.13	0.00016184	random	96x192,192x384,384x768
145	0.002156	29.552687	0.878527	5.71	0.00016134	random	96x192,192x384,384x768
146	0.002405	29.668500	0.884061	5.87	0.00016084	random	96x192,192x384,384x768
147	0.002108	30.253342	0.881764	5.10	0.00016034	random	96x192,192x384,384x768
148	0.002127	29.441242	0.884213	6.12	0.00015984	random	96x192,192x384,384x768
149	0.002260	26.487608	0.875339	5.92	0.00015934	random	96x192,192x384,384x768
150	0.002356	30.583429	0.884710	6.90	0.00015883	random	96x192,192x384,384x768
151	0.002275	29.571149	0.882425	5.44	0.00015832	random	96x192,192x384,384x768
152	0.002211	30.410070	0.885010	5.61	0.00015781	random	96x192,192x384,384x768
153	0.001979	31.007977	0.883260	5.82	0.00015730	random	96x192,192x384,384x768
154	0.002070	30.993300	0.884969	6.31	0.00015678	random	96x192,192x384,384x768
155	0.002139	30.707638	0.887247	5.11	0.00015627	random	96x192,192x384,384x768
156	0.002038	28.529101	0.880621	5.69	0.00015575	random	96x192,192x384,384x768
157	0.002143	30.244343	0.886824	5.20	0.00015522	random	96x192,192x384,384x768
158	0.001879	31.001334	0.886588	5.71	0.00015470	random	96x192,192x384,384x768
159	0.002316	30.501010	0.888030	6.10	0.00015417	random	96x192,192x384,384x768
160	0.001876	28.969173	0.885977	5.52	0.00015365	random	96x192,192x384,384x768
161	0.001937	30.204338	0.886093	5.94	0.00015311	random	96x192,192x384,384x768
162	0.001938	30.133800	0.884786	6.03	0.00015258	random	96x192,192x384,384x768
163	0.001894	30.658951	0.885758	5.72	0.00015205	random	96x192,192x384,384x768
164	0.002081	28.619020	0.884580	5.78	0.00015151	random	96x192,192x384,384x768
165	0.002437	29.639635	0.885224	5.60	0.00015097	random	96x192,192x384,384x768
166	0.002067	29.891640	0.890415	5.59	0.00015043	random	96x192,192x384,384x768
167	0.001929	29.783283	0.883167	6.25	0.00014989	random	96x192,192x384,384x768
168	0.001952	31.139259	0.890867	4.24	0.00014934	random	96x192,192x384,384x768
169	0.002116	31.437308	0.889478	5.64	0.00014880	random	96x192,192x384,384x768
170	0.001967	31.381872	0.886497	5.72	0.00014825	random	96x192,192x384,384x768
171	0.002158	28.882665	0.885801	5.89	0.00014770	random	96x192,192x384,384x768
172	0.001838	30.576826	0.886566	5.98	0.00014714	random	96x192,192x384,384x768
173	0.002135	28.932927	0.885429	4.74	0.00014659	random	96x192,192x384,384x768
174	0.002119	26.692372	0.876573	6.03	0.00014603	random	96x192,192x384,384x768
175	0.002149	30.528184	0.885938	5.81	0.00014548	random	96x192,192x384,384x768
176	0.001993	29.986233	0.889413	5.66	0.00014492	random	96x192,192x384,384x768
177	0.001818	28.522894	0.880887	5.34	0.00014436	random	96x192,192x384,384x768
178	0.002027	27.634553	0.883600	5.28	0.00014379	random	96x192,192x384,384x768
179	0.001996	31.256224	0.891735	4.84	0.00014323	random	96x192,192x384,384x768
180	0.001755	30.791945	0.890757	6.32	0.00014266	random	96x192,192x384,384x768
181	0.002039	30.565351	0.891113	5.99	0.00014209	random	96x192,192x384,384x768
182	0.002270	28.548326	0.885996	4.58	0.00014152	random	96x192,192x384,384x768
183	0.001948	30.610321	0.889840	5.73	0.00014095	random	96x192,192x384,384x768
184	0.002026	30.029165	0.891173	5.54	0.00014038	random	96x192,192x384,384x768
185	0.002061	30.300509	0.889649	4.76	0.00013980	random	96x192,192x384,384x768
186	0.001914	30.542571	0.890422	6.15	0.00013923	random	96x192,192x384,384x768
187	0.001719	31.036159	0.892723	5.13	0.00013865	random	96x192,192x384,384x768
188	0.001987	30.824025	0.891262	5.86	0.00013807	random	96x192,192x384,384x768
189	0.001761	30.857409	0.891295	5.38	0.00013749	random	96x192,192x384,384x768
190	0.002120	29.760571	0.890137	5.46	0.00013691	random	96x192,192x384,384x768
191	0.001952	30.016947	0.890356	5.06	0.00013632	random	96x192,192x384,384x768
192	0.001976	30.491497	0.891561	4.88	0.00013574	random	96x192,192x384,384x768
193	0.001817	28.655532	0.889200	5.68	0.00013515	random	96x192,192x384,384x768
194	0.001802	29.829977	0.888179	5.95	0.00013456	random	96x192,192x384,384x768
195	0.001856	31.402927	0.891820	5.53	0.00013397	random	96x192,192x384,384x768
196	0.001919	30.868300	0.889863	5.73	0.00013338	random	96x192,192x384,384x768
197	0.001734	30.595823	0.889839	5.79	0.00013279	random	96x192,192x384,384x768
198	0.001920	30.950210	0.892117	5.81	0.00013220	random	96x192,192x384,384x768
199	0.001772	31.113277	0.894091	5.70	0.00013160	random	96x192,192x384,384x768
200	0.001678	30.327496	0.889173	6.08	0.00013101	random	96x192,192x384,384x768
201	0.001942	28.345662	0.889328	5.58	0.00013041	random	96x192,192x384,384x768
202	0.001907	29.940035	0.892165	5.20	0.00012981	random	96x192,192x384,384x768
203	0.001815	30.065108	0.889606	5.03	0.00012921	random	96x192,192x384,384x768
204	0.001792	31.606003	0.894991	7.09	0.00012861	random	96x192,192x384,384x768
205	0.001615	30.250887	0.892048	5.26	0.00012801	random	96x192,192x384,384x768
206	0.001780	31.215801	0.890586	5.58	0.00012741	random	96x192,192x384,384x768
207	0.001799	29.742462	0.887911	5.33	0.00012681	random	96x192,192x384,384x768
208	0.001682	30.730374	0.889868	5.67	0.00012620	random	96x192,192x384,384x768
209	0.001868	28.353772	0.884077	5.49	0.00012560	random	96x192,192x384,384x768
210	0.001718	30.919006	0.892478	5.63	0.00012499	random	96x192,192x384,384x768
211	0.001821	31.179202	0.893376	5.98	0.00012438	random	96x192,192x384,384x768
212	0.001882	30.492193	0.895443	6.00	0.00012377	random	96x192,192x384,384x768
213	0.001858	31.074765	0.892983	6.19	0.00012316	random	96x192,192x384,384x768
214	0.001722	30.438851	0.891370	5.72	0.00012255	random	96x192,192x384,384x768
215	0.001728	31.060243	0.894579	6.05	0.00012194	random	96x192,192x384,384x768
216	0.001712	29.837618	0.893269	5.40	0.00012133	random	96x192,192x384,384x768
217	0.001810	30.840336	0.893325	5.90	0.00012072	random	96x192,192x384,384x768
218	0.001738	31.143585	0.894714	6.35	0.00012010	random	96x192,192x384,384x768
219	0.001804	30.999014	0.895926	5.27	0.00011949	random	96x192,192x384,384x768
220	0.001699	30.100120	0.892335	5.04	0.00011887	random	96x192,192x384,384x768
221	0.001765	31.270082	0.891252	5.82	0.00011826	random	96x192,192x384,384x768
222	0.001646	30.373948	0.892897	5.03	0.00011764	random	96x192,192x384,384x768
223	0.001660	31.570111	0.895145	5.62	0.00011702	random	96x192,192x384,384x768
224	0.001647	30.474162	0.894908	6.09	0.00011641	random	96x192,192x384,384x768
225	0.001766	30.347645	0.893858	5.61	0.00011579	random	96x192,192x384,384x768
226	0.001640	31.293576	0.897096	4.78	0.00011517	random	96x192,192x384,384x768
227	0.001717	31.071387	0.891427	5.32	0.00011455	random	96x192,192x384,384x768
228	0.001882	31.209467	0.894474	6.43	0.00011393	random	96x192,192x384,384x768
229	0.001716	29.675329	0.893476	6.14	0.00011331	random	96x192,192x384,384x768
230	0.001845	30.674709	0.895208	6.10	0.00011268	random	96x192,192x384,384x768
231	0.001655	31.155191	0.895152	6.38	0.00011206	random	96x192,192x384,384x768
232	0.001659	31.299494	0.893791	5.95	0.00011144	random	96x192,192x384,384x768
233	0.001724	30.184593	0.894986	5.73	0.00011082	random	96x192,192x384,384x768
234	0.001684	30.968492	0.895527	4.27	0.00011019	random	96x192,192x384,384x768
235	0.001808	30.706183	0.892079	6.47	0.00010957	random	96x192,192x384,384x768
236	0.001567	31.284411	0.896477	6.12	0.00010895	random	96x192,192x384,384x768
237	0.001730	30.159967	0.894946	5.91	0.00010832	random	96x192,192x384,384x768
238	0.001898	30.325446	0.896504	5.68	0.00010770	random	96x192,192x384,384x768
239	0.001797	31.041639	0.893439	6.34	0.00010707	random	96x192,192x384,384x768
240	0.001665	30.827631	0.894168	5.33	0.00010645	random	96x192,192x384,384x768
241	0.001812	29.866756	0.893121	6.31	0.00010582	random	96x192,192x384,384x768
242	0.001678	31.167282	0.896444	6.45	0.00010520	random	96x192,192x384,384x768
243	0.001634	30.670144	0.894925	6.26	0.00010457	random	96x192,192x384,384x768
244	0.001740	30.166409	0.889760	5.10	0.00010394	random	96x192,192x384,384x768
245	0.001622	30.828776	0.894343	5.50	0.00010332	random	96x192,192x384,384x768
246	0.001627	31.265110	0.894428	5.39	0.00010269	random	96x192,192x384,384x768
247	0.001743	31.240176	0.896823	4.99	0.00010207	random	96x192,192x384,384x768
248	0.001605	30.306699	0.892684	5.12	0.00010144	random	96x192,192x384,384x768
249	0.001727	31.015331	0.896163	4.98	0.00010081	random	96x192,192x384,384x768
250	0.001666	31.005183	0.896195	6.09	0.00010019	random	96x192,192x384,384x768
251	0.001603	31.095180	0.896690	5.86	0.00009956	random	96x192,192x384,384x768
252	0.001707	31.095815	0.894396	5.40	0.00009893	random	96x192,192x384,384x768
253	0.001677	30.717117	0.893350	5.43	0.00009831	random	96x192,192x384,384x768
254	0.001703	30.422956	0.892351	5.61	0.00009768	random	96x192,192x384,384x768
255	0.001690	30.047513	0.895531	7.39	0.00009706	random	96x192,192x384,384x768
256	0.001705	31.673273	0.896228	5.43	0.00009643	random	96x192,192x384,384x768
257	0.001643	30.641646	0.894571	6.31	0.00009580	random	96x192,192x384,384x768
258	0.001634	31.136209	0.896116	5.47	0.00009518	random	96x192,192x384,384x768
259	0.001451	31.218848	0.894084	5.98	0.00009455	random	96x192,192x384,384x768
260	0.001549	31.126651	0.897656	5.58	0.00009393	random	96x192,192x384,384x768
261	0.001549	31.352777	0.897341	5.80	0.00009330	random	96x192,192x384,384x768
262	0.001648	31.109672	0.896630	6.92	0.00009268	random	96x192,192x384,384x768
263	0.001707	30.265020	0.891076	5.66	0.00009205	random	96x192,192x384,384x768
264	0.001611	30.210398	0.897768	6.07	0.00009143	random	96x192,192x384,384x768
265	0.001700	31.586357	0.898167	6.18	0.00009081	random	96x192,192x384,384x768
266	0.001520	29.556491	0.893881	5.42	0.00009018	random	96x192,192x384,384x768
267	0.001681	31.319869	0.896854	5.84	0.00008956	random	96x192,192x384,384x768
268	0.001682	31.212630	0.897575	5.56	0.00008894	random	96x192,192x384,384x768
269	0.001665	30.585274	0.893942	6.20	0.00008832	random	96x192,192x384,384x768
270	0.001551	31.530310	0.898394	4.46	0.00008769	random	96x192,192x384,384x768
271	0.001620	30.869527	0.895886	6.18	0.00008707	random	96x192,192x384,384x768
272	0.001497	31.651481	0.898246	5.90	0.00008645	random	96x192,192x384,384x768
273	0.001633	31.280429	0.893974	5.73	0.00008583	random	96x192,192x384,384x768
274	0.001727	31.227925	0.896580	6.03	0.00008521	random	96x192,192x384,384x768
275	0.001505	31.164962	0.897142	6.11	0.00008459	random	96x192,192x384,384x768
276	0.001584	31.651225	0.896350	6.51	0.00008398	random	96x192,192x384,384x768
277	0.001625	30.940735	0.894142	5.28	0.00008336	random	96x192,192x384,384x768
278	0.001709	30.961023	0.896423	6.16	0.00008274	random	96x192,192x384,384x768
279	0.001553	30.779703	0.896862	4.75	0.00008213	random	96x192,192x384,384x768
280	0.001567	30.662916	0.896808	5.30	0.00008151	random	96x192,192x384,384x768
281	0.001482	31.328874	0.896842	6.10	0.00008090	random	96x192,192x384,384x768
282	0.001540	30.464027	0.893071	5.19	0.00008028	random	96x192,192x384,384x768
283	0.001543	31.101421	0.898019	6.20	0.00007967	random	96x192,192x384,384x768
284	0.001519	31.269585	0.895692	5.73	0.00007906	random	96x192,192x384,384x768
285	0.001558	31.772065	0.897526	5.51	0.00007845	random	96x192,192x384,384x768
286	0.001667	30.748576	0.896383	5.15	0.00007784	random	96x192,192x384,384x768
287	0.001582	30.924830	0.897411	5.01	0.00007723	random	96x192,192x384,384x768
288	0.001619	30.195133	0.894800	5.55	0.00007662	random	96x192,192x384,384x768
289	0.001619	31.483435	0.897399	5.85	0.00007601	random	96x192,192x384,384x768
290	0.001679	30.165577	0.888337	4.71	0.00007540	random	96x192,192x384,384x768
291	0.001594	31.304426	0.895778	5.98	0.00007480	random	96x192,192x384,384x768
292	0.001630	31.016956	0.899994	4.65	0.00007419	random	96x192,192x384,384x768
293	0.001481	30.377368	0.895463	6.14	0.00007359	random	96x192,192x384,384x768
294	0.001596	29.633346	0.898257	6.15	0.00007299	random	96x192,192x384,384x768
295	0.001473	30.974531	0.896077	5.83	0.00007239	random	96x192,192x384,384x768
296	0.001524	30.048261	0.894477	5.99	0.00007179	random	96x192,192x384,384x768
297	0.001572	31.504328	0.898499	5.56	0.00007119	random	96x192,192x384,384x768
298	0.001604	30.995200	0.894994	5.92	0.00007059	random	96x192,192x384,384x768
299	0.001556	31.879265	0.896946	4.46	0.00006999	random	96x192,192x384,384x768
300	0.001377	30.970431	0.895569	6.32	0.00006940	random	96x192,192x384,384x768
301	0.001486	30.873699	0.895991	5.56	0.00006880	random	96x192,192x384,384x768
302	0.001444	31.214394	0.892860	5.77	0.00006821	random	96x192,192x384,384x768
303	0.001440	31.365538	0.899502	5.84	0.00006762	random	96x192,192x384,384x768
304	0.001542	30.974486	0.895895	5.34	0.00006703	random	96x192,192x384,384x768
305	0.001617	31.424607	0.900775	5.86	0.00006644	random	96x192,192x384,384x768
306	0.001512	30.771340	0.898097	4.90	0.00006585	random	96x192,192x384,384x768
307	0.001702	31.180260	0.899031	5.80	0.00006526	random	96x192,192x384,384x768
308	0.001417	31.402661	0.898720	5.64	0.00006468	random	96x192,192x384,384x768
309	0.001586	31.564479	0.898554	6.24	0.00006409	random	96x192,192x384,384x768
310	0.001446	31.544285	0.898830	6.00	0.00006351	random	96x192,192x384,384x768
311	0.001511	30.968343	0.897827	6.01	0.00006293	random	96x192,192x384,384x768
312	0.001629	32.029373	0.900653	5.46	0.00006235	random	96x192,192x384,384x768
