epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
151	0.033044	30.175726	0.870969	4.87	0.00015832	random	96x192,192x384,384x768
152	0.032999	29.651444	0.868851	6.00	0.00015781	random	96x192,192x384,384x768
153	0.032394	28.308374	0.866354	5.33	0.00015730	random	96x192,192x384,384x768
154	0.033369	30.407357	0.870721	5.12	0.00015678	random	96x192,192x384,384x768
155	0.032903	29.928979	0.868487	6.58	0.00015627	random	96x192,192x384,384x768
156	0.034110	30.562718	0.872463	5.66	0.00015575	random	96x192,192x384,384x768
157	0.032914	30.454614	0.869481	6.51	0.00015522	random	96x192,192x384,384x768
158	0.033409	30.130748	0.874046	5.96	0.00015470	random	96x192,192x384,384x768
159	0.032862	29.417574	0.867380	6.00	0.00015417	random	96x192,192x384,384x768
160	0.032394	29.774211	0.872268	5.55	0.00015365	random	96x192,192x384,384x768
161	0.032494	30.633092	0.874652	5.61	0.00015311	random	96x192,192x384,384x768
162	0.033189	30.446173	0.874512	5.71	0.00015258	random	96x192,192x384,384x768
163	0.033006	29.460963	0.869098	5.74	0.00015205	random	96x192,192x384,384x768
164	0.032460	29.454659	0.871472	5.95	0.00015151	random	96x192,192x384,384x768
165	0.032020	29.454421	0.870307	5.46	0.00015097	random	96x192,192x384,384x768
166	0.032281	28.836549	0.873160	5.70	0.00015043	random	96x192,192x384,384x768
167	0.032183	29.863811	0.872365	6.14	0.00014989	random	96x192,192x384,384x768
168	0.032492	29.297874	0.873499	5.77	0.00014934	random	96x192,192x384,384x768
169	0.033140	27.810878	0.864961	5.41	0.00014880	random	96x192,192x384,384x768
170	0.032473	30.383665	0.873863	5.92	0.00014825	random	96x192,192x384,384x768
171	0.031402	29.875006	0.875518	5.32	0.00014770	random	96x192,192x384,384x768
172	0.032653	29.899060	0.875866	5.63	0.00014714	random	96x192,192x384,384x768
173	0.032234	28.887776	0.870675	5.34	0.00014659	random	96x192,192x384,384x768
174	0.031704	30.510443	0.876356	5.64	0.00014603	random	96x192,192x384,384x768
175	0.032575	30.295149	0.876259	5.17	0.00014548	random	96x192,192x384,384x768
176	0.032797	28.170403	0.872802	6.03	0.00014492	random	96x192,192x384,384x768
177	0.034648	30.401810	0.874080	5.46	0.00014436	random	96x192,192x384,384x768
178	0.031803	30.162269	0.875214	6.07	0.00014379	random	96x192,192x384,384x768
179	0.031048	29.093131	0.877591	5.65	0.00014323	random	96x192,192x384,384x768
180	0.031362	29.648638	0.872703	5.49	0.00014266	random	96x192,192x384,384x768
181	0.031476	29.724828	0.874338	4.93	0.00014209	random	96x192,192x384,384x768
182	0.032042	30.765620	0.877161	6.41	0.00014152	random	96x192,192x384,384x768
183	0.032128	29.970494	0.878318	5.02	0.00014095	random	96x192,192x384,384x768
184	0.031507	27.996649	0.876958	5.99	0.00014038	random	96x192,192x384,384x768
185	0.030996	29.357483	0.876009	5.55	0.00013980	random	96x192,192x384,384x768
186	0.030850	30.554796	0.878779	6.45	0.00013923	random	96x192,192x384,384x768
187	0.032241	30.994446	0.880181	5.65	0.00013865	random	96x192,192x384,384x768
188	0.034946	30.111580	0.878510	5.77	0.00013807	random	96x192,192x384,384x768
189	0.032276	28.507050	0.877422	5.69	0.00013749	random	96x192,192x384,384x768
190	0.031820	30.623072	0.877797	5.29	0.00013691	random	96x192,192x384,384x768
191	0.032251	29.702916	0.878297	5.66	0.00013632	random	96x192,192x384,384x768
192	0.032002	28.392002	0.875776	5.19	0.00013574	random	96x192,192x384,384x768
193	0.032172	30.449356	0.878856	5.67	0.00013515	random	96x192,192x384,384x768
194	0.031361	30.655058	0.876160	5.93	0.00013456	random	96x192,192x384,384x768
195	0.032102	28.784853	0.875774	5.44	0.00013397	random	96x192,192x384,384x768
196	0.033355	30.117312	0.881814	5.62	0.00013338	random	96x192,192x384,384x768
197	0.031339	30.062702	0.878280	5.30	0.00013279	random	96x192,192x384,384x768
198	0.033046	30.629211	0.878827	5.09	0.00013220	random	96x192,192x384,384x768
199	0.030890	30.322790	0.878660	5.00	0.00013160	random	96x192,192x384,384x768
200	0.031545	30.329199	0.883879	5.73	0.00013101	random	96x192,192x384,384x768
201	0.031196	30.068222	0.878129	5.27	0.00013041	random	96x192,192x384,384x768
202	0.031929	29.502544	0.879015	5.72	0.00012981	random	96x192,192x384,384x768
203	0.031173	29.903235	0.874433	5.58	0.00012921	random	96x192,192x384,384x768
204	0.032204	30.754193	0.882257	5.10	0.00012861	random	96x192,192x384,384x768
